ID,Target
TEST_0214,neutral
TEST_0215,neutral
TEST_0216,neutral
TEST_0217,neutral
TEST_0218,anger
TEST_0219,anger
TEST_0220,neutral
TEST_0221,neutral
TEST_0222,neutral
TEST_0223,neutral
TEST_0224,neutral
TEST_0225,neutral
TEST_0226,neutral
TEST_0227,neutral
TEST_0228,joy
TEST_0229,neutral
TEST_0230,neutral
TEST_0231,surprise
TEST_0232,neutral
TEST_0233,surprise
TEST_0234,surprise
TEST_0235,neutral
TEST_0236,disgust
TEST_0237,sadness
TEST_0238,neutral
TEST_0239,disgust
TEST_0240,neutral
TEST_0241,joy
TEST_0242,neutral
TEST_0243,neutral
TEST_0244,neutral
TEST_0245,neutral
TEST_0246,neutral
TEST_0247,neutral
TEST_0248,neutral
TEST_0249,neutral
TEST_0250,disgust
TEST_0251,joy
TEST_0252,anger
TEST_0253,neutral
TEST_0254,neutral
TEST_0255,neutral
TEST_0256,neutral
TEST_0257,neutral
TEST_0258,neutral
TEST_0259,joy
TEST_0260,neutral
TEST_0261,neutral
TEST_0262,neutral
TEST_0263,neutral
TEST_0264,neutral
TEST_0265,neutral
TEST_0266,joy
TEST_0267,neutral
TEST_0268,sadness
TEST_0269,surprise
TEST_0270,neutral
TEST_0271,neutral
TEST_0272,neutral
TEST_0273,neutral
TEST_0274,neutral
TEST_0275,neutral
TEST_0276,anger
TEST_0277,joy
TEST_0278,neutral
TEST_0279,surprise
TEST_0280,neutral
TEST_0281,surprise
TEST_0282,anger
TEST_0283,neutral
TEST_0284,surprise
TEST_0285,neutral
TEST_0286,sadness
TEST_0287,joy
TEST_0288,joy
TEST_0289,neutral
TEST_0290,sadness
TEST_0291,sadness
TEST_0292,neutral
TEST_0293,neutral
TEST_0294,neutral
TEST_0295,neutral
TEST_0296,neutral
TEST_0297,neutral
TEST_0298,joy
TEST_0299,neutral
TEST_0300,neutral
TEST_0301,sadness
TEST_0302,neutral
TEST_0303,surprise
TEST_0304,joy
TEST_0305,anger
TEST_0306,neutral
TEST_0307,neutral
TEST_0308,surprise
TEST_0309,neutral
TEST_0310,neutral
TEST_0311,neutral
TEST_0312,neutral
TEST_0313,neutral
TEST_0314,neutral
TEST_0315,sadness
TEST_0316,neutral
TEST_0317,neutral
TEST_0318,neutral
TEST_0319,anger
TEST_0320,neutral
TEST_0321,neutral
TEST_0322,surprise
TEST_0323,neutral
TEST_0324,neutral
TEST_0325,neutral
TEST_0326,anger
TEST_0327,sadness
TEST_0328,neutral
TEST_0329,neutral
TEST_0330,neutral
TEST_0331,neutral
TEST_0332,neutral
TEST_0333,neutral
TEST_0334,neutral
TEST_0335,sadness
TEST_0336,disgust
TEST_0337,anger
TEST_0338,anger
TEST_0339,anger
TEST_0340,joy
TEST_0341,anger
TEST_0342,neutral
TEST_0343,neutral
TEST_0344,neutral
TEST_0345,joy
TEST_0346,neutral
TEST_0347,neutral
TEST_0348,joy
TEST_0349,joy
TEST_0350,neutral
TEST_0351,joy
TEST_0352,joy
TEST_0353,joy
TEST_0354,anger
TEST_0355,neutral
TEST_0356,joy
TEST_0357,joy
TEST_0358,surprise
TEST_0359,neutral
TEST_0360,neutral
TEST_0361,joy
TEST_0362,joy
TEST_0363,neutral
TEST_0364,joy
TEST_0365,surprise
TEST_0366,neutral
TEST_0367,neutral
TEST_0368,anger
TEST_0369,neutral
TEST_0370,neutral
TEST_0371,neutral
TEST_0372,neutral
TEST_0373,neutral
TEST_0374,joy
TEST_0375,neutral
TEST_0376,joy
TEST_0377,sadness
TEST_0378,neutral
TEST_0379,neutral
TEST_0380,neutral
TEST_0381,neutral
TEST_0382,neutral
TEST_0383,neutral
TEST_0384,neutral
TEST_0385,neutral
TEST_0386,neutral
TEST_0387,neutral
TEST_0388,neutral
TEST_0389,neutral
TEST_0390,neutral
TEST_0391,neutral
TEST_0392,neutral
TEST_0393,anger
TEST_0394,joy
TEST_0395,neutral
TEST_0396,neutral
TEST_0397,joy
TEST_0398,neutral
TEST_0399,surprise
TEST_0400,neutral
TEST_0401,neutral
TEST_0402,neutral
TEST_0403,neutral
TEST_0404,sadness
TEST_0405,neutral
TEST_0406,neutral
TEST_0407,neutral
TEST_0408,neutral
TEST_0409,neutral
TEST_0410,joy
TEST_0411,neutral
TEST_0412,neutral
TEST_0413,neutral
TEST_0414,surprise
TEST_0415,neutral
TEST_0416,neutral
TEST_0417,anger
TEST_0418,anger
TEST_0419,neutral
TEST_0420,joy
TEST_0421,neutral
TEST_0422,neutral
TEST_0423,neutral
TEST_0424,neutral
TEST_0425,neutral
TEST_0426,neutral
TEST_0427,neutral
TEST_0428,neutral
TEST_0429,anger
TEST_0430,neutral
TEST_0431,neutral
TEST_0432,neutral
TEST_0433,neutral
TEST_0434,joy
TEST_0435,neutral
TEST_0436,neutral
TEST_0437,neutral
TEST_0438,neutral
TEST_0439,neutral
TEST_0440,neutral
TEST_0441,neutral
TEST_0442,neutral
TEST_0443,neutral
TEST_0444,neutral
TEST_0445,neutral
TEST_0446,neutral
TEST_0447,sadness
TEST_0448,joy
TEST_0449,sadness
TEST_0450,neutral
TEST_0451,neutral
TEST_0452,neutral
TEST_0453,neutral
TEST_0454,sadness
TEST_0455,neutral
TEST_0456,neutral
TEST_0457,neutral
TEST_0458,joy
TEST_0459,neutral
TEST_0460,joy
TEST_0461,neutral
TEST_0462,surprise
TEST_0463,neutral
TEST_0464,neutral
TEST_0465,sadness
TEST_0466,neutral
TEST_0467,joy
TEST_0468,neutral
TEST_0469,neutral
TEST_0470,neutral
TEST_0471,surprise
TEST_0472,neutral
TEST_0473,neutral
TEST_0474,joy
TEST_0475,joy
TEST_0476,neutral
TEST_0477,neutral
TEST_0478,sadness
TEST_0479,neutral
TEST_0480,surprise
TEST_0481,neutral
TEST_0482,anger
TEST_0483,joy
TEST_0484,neutral
TEST_0485,neutral
TEST_0486,neutral
TEST_0487,neutral
TEST_0488,neutral
TEST_0489,neutral
TEST_0490,neutral
TEST_0491,neutral
TEST_0492,neutral
TEST_0493,joy
TEST_0494,neutral
TEST_0495,anger
TEST_0496,neutral
TEST_0497,neutral
TEST_0498,neutral
TEST_0499,sadness
TEST_0500,neutral
TEST_0501,neutral
TEST_0502,surprise
TEST_0503,neutral
TEST_0504,neutral
TEST_0505,neutral
TEST_0506,neutral
TEST_0507,neutral
TEST_0508,neutral
TEST_0509,surprise
TEST_0510,joy
TEST_0511,neutral
TEST_0512,neutral
TEST_0513,anger
TEST_0514,neutral
TEST_0515,joy
TEST_0516,anger
TEST_0517,neutral
TEST_0518,neutral
TEST_0519,joy
TEST_0520,joy
TEST_0521,joy
TEST_0522,anger
TEST_0523,neutral
TEST_0524,neutral
TEST_0525,neutral
TEST_0526,neutral
TEST_0527,neutral
TEST_0528,neutral
TEST_0529,neutral
TEST_0530,joy
TEST_0531,neutral
TEST_0532,neutral
TEST_0533,neutral
TEST_0534,neutral
TEST_0535,neutral
TEST_0536,surprise
TEST_0537,joy
TEST_0538,sadness
TEST_0539,joy
TEST_0540,surprise
TEST_0541,sadness
TEST_0542,neutral
TEST_0543,neutral
TEST_0544,neutral
TEST_0545,neutral
TEST_0546,anger
TEST_0547,neutral
TEST_0548,sadness
TEST_0549,neutral
TEST_0550,neutral
TEST_0551,surprise
TEST_0552,neutral
TEST_0553,neutral
TEST_0554,neutral
TEST_0555,neutral
TEST_0556,neutral
TEST_0557,neutral
TEST_0558,neutral
TEST_0559,neutral
TEST_0560,neutral
TEST_0561,neutral
TEST_0562,neutral
TEST_0563,neutral
TEST_0564,neutral
TEST_0565,neutral
TEST_0566,neutral
TEST_0567,neutral
TEST_0568,neutral
TEST_0569,neutral
TEST_0570,neutral
TEST_0571,joy
TEST_0572,joy
TEST_0573,neutral
TEST_0574,neutral
TEST_0575,neutral
TEST_0576,joy
TEST_0577,neutral
TEST_0578,neutral
TEST_0579,neutral
TEST_0580,neutral
TEST_0581,joy
TEST_0582,neutral
TEST_0583,joy
TEST_0584,neutral
TEST_0585,neutral
TEST_0586,neutral
TEST_0587,neutral
TEST_0588,joy
TEST_0589,surprise
TEST_0590,neutral
TEST_0591,surprise
TEST_0592,joy
TEST_0593,neutral
TEST_0594,neutral
TEST_0595,neutral
TEST_0596,neutral
TEST_0597,joy
TEST_0598,neutral
TEST_0599,neutral
TEST_0600,neutral
TEST_0601,neutral
TEST_0602,neutral
TEST_0603,neutral
TEST_0604,neutral
TEST_0605,neutral
TEST_0606,disgust
TEST_0607,neutral
TEST_0608,neutral
TEST_0609,joy
TEST_0610,neutral
TEST_0611,neutral
TEST_0612,neutral
TEST_0613,neutral
TEST_0614,neutral
TEST_0615,neutral
TEST_0616,neutral
TEST_0617,anger
TEST_0618,neutral
TEST_0619,neutral
TEST_0620,neutral
TEST_0621,anger
TEST_0622,neutral
TEST_0623,joy
TEST_0624,neutral
TEST_0625,joy
TEST_0626,neutral
TEST_0627,neutral
TEST_0628,neutral
TEST_0629,joy
TEST_0630,sadness
TEST_0631,neutral
TEST_0632,joy
TEST_0633,neutral
TEST_0634,neutral
TEST_0635,neutral
TEST_0636,neutral
TEST_0637,neutral
TEST_0638,neutral
TEST_0639,neutral
TEST_0640,surprise
TEST_0641,neutral
TEST_0642,neutral
TEST_0643,neutral
TEST_0644,neutral
TEST_0645,neutral
TEST_0646,neutral
TEST_0647,neutral
TEST_0648,neutral
TEST_0649,neutral
TEST_0650,neutral
TEST_0651,neutral
TEST_0652,neutral
TEST_0653,neutral
TEST_0654,neutral
TEST_0655,neutral
TEST_0656,neutral
TEST_0657,neutral
TEST_0658,neutral
TEST_0659,neutral
TEST_0660,neutral
TEST_0661,neutral
TEST_0662,surprise
TEST_0663,neutral
TEST_0664,neutral
TEST_0665,neutral
TEST_0666,neutral
TEST_0667,neutral
TEST_0668,neutral
TEST_0669,neutral
TEST_0670,surprise
TEST_0671,neutral
TEST_0672,surprise
TEST_0673,joy
TEST_0674,neutral
TEST_0675,neutral
TEST_0676,neutral
TEST_0677,sadness
TEST_0678,sadness
TEST_0679,joy
TEST_0680,neutral
TEST_0681,neutral
TEST_0682,neutral
TEST_0683,neutral
TEST_0684,neutral
TEST_0685,surprise
TEST_0686,joy
TEST_0687,neutral
TEST_0688,neutral
TEST_0689,neutral
TEST_0690,neutral
TEST_0691,neutral
TEST_0692,neutral
TEST_0693,neutral
TEST_0694,neutral
TEST_0695,neutral
TEST_0696,neutral
TEST_0697,neutral
TEST_0698,neutral
TEST_0699,neutral
TEST_0700,neutral
TEST_0701,neutral
TEST_0702,neutral
TEST_0703,neutral
TEST_0704,neutral
TEST_0705,neutral
TEST_0706,neutral
TEST_0707,neutral
TEST_0708,neutral
TEST_0709,neutral
TEST_0710,neutral
TEST_0711,neutral
TEST_0712,neutral
TEST_0713,neutral
TEST_0714,neutral
TEST_0715,neutral
TEST_0716,neutral
TEST_0717,neutral
TEST_0718,joy
TEST_0719,neutral
TEST_0720,neutral
TEST_0721,neutral
TEST_0722,neutral
TEST_0723,sadness
TEST_0724,neutral
TEST_0725,neutral
TEST_0726,anger
TEST_0727,neutral
TEST_0728,neutral
TEST_0729,neutral
TEST_0730,joy
TEST_0731,joy
TEST_0732,neutral
TEST_0733,neutral
TEST_0734,neutral
TEST_0735,sadness
TEST_0736,neutral
TEST_0737,neutral
TEST_0738,neutral
TEST_0739,joy
TEST_0740,neutral
TEST_0741,neutral
TEST_0742,anger
TEST_0743,neutral
TEST_0744,neutral
TEST_0745,neutral
TEST_0746,neutral
TEST_0747,neutral
TEST_0748,neutral
TEST_0749,neutral
TEST_0750,neutral
TEST_0751,neutral
TEST_0752,neutral
TEST_0753,neutral
TEST_0754,neutral
TEST_0755,neutral
TEST_0756,neutral
TEST_0757,sadness
TEST_0758,neutral
TEST_0759,neutral
TEST_0760,neutral
TEST_0761,surprise
TEST_0762,neutral
TEST_0763,joy
TEST_0764,joy
TEST_0765,surprise
TEST_0766,sadness
TEST_0767,neutral
TEST_0768,neutral
TEST_0769,sadness
TEST_0770,neutral
TEST_0771,neutral
TEST_0772,neutral
TEST_0773,neutral
TEST_0774,anger
TEST_0775,neutral
TEST_0776,neutral
TEST_0777,anger
TEST_0778,neutral
TEST_0779,neutral
TEST_0780,anger
TEST_0781,neutral
TEST_0782,surprise
TEST_0783,neutral
TEST_0784,sadness
TEST_0785,sadness
TEST_0786,neutral
TEST_0787,joy
TEST_0788,neutral
TEST_0789,neutral
TEST_0790,neutral
TEST_0791,neutral
TEST_0792,neutral
TEST_0793,neutral
TEST_0794,anger
TEST_0795,sadness
TEST_0796,neutral
TEST_0797,neutral
TEST_0798,neutral
TEST_0799,joy
TEST_0800,neutral
TEST_0801,neutral
TEST_0802,sadness
TEST_0803,neutral
TEST_0804,neutral
TEST_0805,neutral
TEST_0806,neutral
TEST_0807,neutral
TEST_0808,joy
TEST_0809,joy
TEST_0810,joy
TEST_0811,joy
TEST_0812,anger
TEST_0813,neutral
TEST_0814,sadness
TEST_0815,neutral
TEST_0816,neutral
TEST_0817,neutral
TEST_0818,joy
TEST_0819,neutral
TEST_0820,neutral
TEST_0821,neutral
TEST_0822,anger
TEST_0823,neutral
TEST_0824,neutral
TEST_0825,neutral
TEST_0826,joy
TEST_0827,neutral
TEST_0828,neutral
TEST_0829,neutral
TEST_0830,neutral
TEST_0831,neutral
TEST_0832,joy
TEST_0833,sadness
TEST_0834,neutral
TEST_0835,neutral
TEST_0836,sadness
TEST_0837,neutral
TEST_0838,neutral
TEST_0839,sadness
TEST_0840,neutral
TEST_0841,neutral
TEST_0842,surprise
TEST_0843,neutral
TEST_0844,joy
TEST_0845,neutral
TEST_0846,neutral
TEST_0847,neutral
TEST_0848,neutral
TEST_0849,neutral
TEST_0850,neutral
TEST_0851,neutral
TEST_0852,surprise
TEST_0853,sadness
TEST_0854,neutral
TEST_0855,neutral
TEST_0856,neutral
TEST_0857,neutral
TEST_0858,neutral
TEST_0859,neutral
TEST_0860,neutral
TEST_0861,joy
TEST_0862,joy
TEST_0863,joy
TEST_0864,sadness
TEST_0865,surprise
TEST_0866,neutral
TEST_0867,neutral
TEST_0868,neutral
TEST_0869,neutral
TEST_0870,neutral
TEST_0871,neutral
TEST_0872,neutral
TEST_0873,neutral
TEST_0874,neutral
TEST_0875,neutral
TEST_0876,neutral
TEST_0877,neutral
TEST_0878,neutral
TEST_0879,neutral
TEST_0880,neutral
TEST_0881,neutral
TEST_0882,neutral
TEST_0883,neutral
TEST_0884,joy
TEST_0885,anger
TEST_0886,neutral
TEST_0887,neutral
TEST_0888,neutral
TEST_0889,neutral
TEST_0890,sadness
TEST_0891,anger
TEST_0892,neutral
TEST_0893,neutral
TEST_0894,neutral
TEST_0895,neutral
TEST_0896,neutral
TEST_0897,neutral
TEST_0898,neutral
TEST_0899,neutral
TEST_0900,neutral
TEST_0901,neutral
TEST_0902,neutral
TEST_0903,neutral
TEST_0904,neutral
TEST_0905,neutral
TEST_0906,neutral
TEST_0907,neutral
TEST_0908,neutral
TEST_0909,anger
TEST_0910,neutral
TEST_0911,neutral
TEST_0912,anger
TEST_0913,joy
TEST_0914,sadness
TEST_0915,neutral
TEST_0916,neutral
TEST_0917,neutral
TEST_0918,surprise
TEST_0919,neutral
TEST_0920,neutral
TEST_0921,neutral
TEST_0922,sadness
TEST_0923,neutral
TEST_0924,surprise
TEST_0925,neutral
TEST_0926,neutral
TEST_0927,neutral
TEST_0928,surprise
TEST_0929,neutral
TEST_0930,neutral
TEST_0931,neutral
TEST_0932,neutral
TEST_0933,neutral
TEST_0934,neutral
TEST_0935,neutral
TEST_0936,neutral
TEST_0937,neutral
TEST_0938,sadness
TEST_0939,neutral
TEST_0940,neutral
TEST_0941,neutral
TEST_0942,neutral
TEST_0943,neutral
TEST_0944,neutral
TEST_0945,neutral
TEST_0946,neutral
TEST_0947,neutral
TEST_0948,neutral
TEST_0949,neutral
TEST_0950,neutral
TEST_0951,sadness
TEST_0952,sadness
TEST_0953,neutral
TEST_0954,surprise
TEST_0955,neutral
TEST_0956,neutral
TEST_0957,neutral
TEST_0958,sadness
TEST_0959,neutral
TEST_0960,neutral
TEST_0961,neutral
TEST_0962,neutral
TEST_0963,neutral
TEST_0964,surprise
TEST_0965,anger
TEST_0966,anger
TEST_0967,neutral
TEST_0968,neutral
TEST_0969,sadness
TEST_0970,anger
TEST_0971,neutral
TEST_0972,neutral
TEST_0973,neutral
TEST_0974,neutral
TEST_0975,joy
TEST_0976,neutral
TEST_0977,neutral
TEST_0978,anger
TEST_0979,anger
TEST_0980,anger
TEST_0981,sadness
TEST_0982,neutral
TEST_0983,neutral
TEST_0984,joy
TEST_0985,neutral
TEST_0986,surprise
TEST_0987,anger
TEST_0988,neutral
TEST_0989,neutral
TEST_0990,neutral
TEST_0991,neutral
TEST_0992,neutral
TEST_0993,neutral
TEST_0994,joy
TEST_0995,anger
TEST_0996,neutral
TEST_0997,neutral
TEST_0998,neutral
TEST_0999,joy
TEST_1000,surprise
TEST_1001,neutral
TEST_1002,sadness
TEST_1003,sadness
TEST_1004,disgust
TEST_1005,neutral
TEST_1006,neutral
TEST_1007,neutral
TEST_1008,joy
TEST_1009,neutral
TEST_1010,neutral
TEST_1011,anger
TEST_1012,joy
TEST_1013,neutral
TEST_1014,neutral
TEST_1015,neutral
TEST_1016,neutral
TEST_1017,neutral
TEST_1018,neutral
TEST_1019,anger
TEST_1020,neutral
TEST_1021,neutral
TEST_1022,sadness
TEST_1023,neutral
TEST_1024,joy
TEST_1025,neutral
TEST_1026,neutral
TEST_1027,neutral
TEST_1028,neutral
TEST_1029,surprise
TEST_1030,sadness
TEST_1031,anger
TEST_1032,neutral
TEST_1033,neutral
TEST_1034,neutral
TEST_1035,neutral
TEST_1036,neutral
TEST_1037,surprise
TEST_1038,neutral
TEST_1039,surprise
TEST_1040,neutral
TEST_1041,joy
TEST_1042,neutral
TEST_1043,neutral
TEST_1044,joy
TEST_1045,neutral
TEST_1046,neutral
TEST_1047,neutral
TEST_1048,neutral
TEST_1049,neutral
TEST_1050,neutral
TEST_1051,neutral
TEST_1052,joy
TEST_1053,neutral
TEST_1054,neutral
TEST_1055,joy
TEST_1056,neutral
TEST_1057,neutral
TEST_1058,neutral
TEST_1059,neutral
TEST_1060,sadness
TEST_1061,sadness
TEST_1062,surprise
TEST_1063,neutral
TEST_1064,neutral
TEST_1065,sadness
TEST_1066,neutral
TEST_1067,neutral
TEST_1068,neutral
TEST_1069,neutral
TEST_1070,joy
TEST_1071,neutral
TEST_1072,joy
TEST_1073,sadness
TEST_1074,neutral
TEST_1075,joy
TEST_1076,neutral
TEST_1077,sadness
TEST_1078,joy
TEST_1079,neutral
TEST_1080,joy
TEST_1081,neutral
TEST_1082,joy
TEST_1083,neutral
TEST_1084,neutral
TEST_1085,neutral
TEST_1086,neutral
TEST_1087,sadness
TEST_1088,neutral
TEST_1089,neutral
TEST_1090,sadness
TEST_1091,neutral
TEST_1092,joy
TEST_1093,neutral
TEST_1094,joy
TEST_1095,joy
TEST_1096,neutral
TEST_1097,joy
TEST_1098,neutral
TEST_1099,joy
TEST_1100,neutral
TEST_1101,neutral
TEST_1102,joy
TEST_1103,joy
TEST_1104,sadness
TEST_1105,neutral
TEST_1106,neutral
TEST_1107,joy
TEST_1108,neutral
TEST_1109,neutral
TEST_1110,neutral
TEST_1111,neutral
TEST_1112,neutral
TEST_1113,neutral
TEST_1114,neutral
TEST_1115,neutral
TEST_1116,neutral
TEST_1117,anger
TEST_1118,disgust
TEST_1119,neutral
TEST_1120,sadness
TEST_1121,neutral
TEST_1122,joy
TEST_1123,neutral
TEST_1124,neutral
TEST_1125,neutral
TEST_1126,neutral
TEST_1127,surprise
TEST_1128,neutral
TEST_1129,neutral
TEST_1130,neutral
TEST_1131,neutral
TEST_1132,neutral
TEST_1133,neutral
TEST_1134,surprise
TEST_1135,neutral
TEST_1136,neutral
TEST_1137,joy
TEST_1138,neutral
TEST_1139,neutral
TEST_1140,neutral
TEST_1141,neutral
TEST_1142,neutral
TEST_1143,neutral
TEST_1144,joy
TEST_1145,neutral
TEST_1146,neutral
TEST_1147,neutral
TEST_1148,anger
TEST_1149,neutral
TEST_1150,sadness
TEST_1151,joy
TEST_1152,anger
TEST_1153,neutral
TEST_1154,neutral
TEST_1155,surprise
TEST_1156,joy
TEST_1157,anger
TEST_1158,neutral
TEST_1159,neutral
TEST_1160,neutral
TEST_1161,sadness
TEST_1162,joy
TEST_1163,neutral
TEST_1164,joy
TEST_1165,neutral
TEST_1166,neutral
TEST_1167,neutral
TEST_1168,neutral
TEST_1169,neutral
TEST_1170,neutral
TEST_1171,neutral
TEST_1172,neutral
TEST_1173,neutral
TEST_1174,neutral
TEST_1175,neutral
TEST_1176,neutral
TEST_1177,neutral
TEST_1178,neutral
TEST_1179,neutral
TEST_1180,neutral
TEST_1181,surprise
TEST_1182,neutral
TEST_1183,neutral
TEST_1184,sadness
TEST_1185,neutral
TEST_1186,neutral
TEST_1187,neutral
TEST_1188,neutral
TEST_1189,neutral
TEST_1190,neutral
TEST_1191,neutral
TEST_1192,neutral
TEST_1193,neutral
TEST_1194,sadness
TEST_1195,neutral
TEST_1196,neutral
TEST_1197,neutral
TEST_1198,neutral
TEST_1199,neutral
TEST_1200,neutral
TEST_1201,neutral
TEST_1202,neutral
TEST_1203,neutral
TEST_1204,disgust
TEST_1205,neutral
TEST_1206,neutral
TEST_1207,neutral
TEST_1208,neutral
TEST_1209,neutral
TEST_1210,neutral
TEST_1211,neutral
TEST_1212,neutral
TEST_1213,neutral
TEST_1214,neutral
TEST_1215,neutral
TEST_1216,neutral
TEST_1217,neutral
TEST_1218,joy
TEST_1219,neutral
TEST_1220,neutral
TEST_1221,neutral
TEST_1222,neutral
TEST_1223,neutral
TEST_1224,neutral
TEST_1225,neutral
TEST_1226,joy
TEST_1227,neutral
TEST_1228,joy
TEST_1229,sadness
TEST_1230,neutral
TEST_1231,anger
TEST_1232,neutral
TEST_1233,neutral
TEST_1234,neutral
TEST_1235,sadness
TEST_1236,neutral
TEST_1237,neutral
TEST_1238,neutral
TEST_1239,neutral
TEST_1240,neutral
TEST_1241,neutral
TEST_1242,neutral
TEST_1243,neutral
TEST_1244,neutral
TEST_1245,neutral
TEST_1246,neutral
TEST_1247,neutral
TEST_1248,neutral
TEST_1249,neutral
TEST_1250,neutral
TEST_1251,neutral
TEST_1252,neutral
TEST_1253,neutral
TEST_1254,neutral
TEST_1255,joy
TEST_1256,neutral
TEST_1257,neutral
TEST_1258,surprise
TEST_1259,neutral
TEST_1260,neutral
TEST_1261,surprise
TEST_1262,neutral
TEST_1263,neutral
TEST_1264,neutral
TEST_1265,surprise
TEST_1266,neutral
TEST_1267,neutral
TEST_1268,surprise
TEST_1269,disgust
TEST_1270,neutral
TEST_1271,neutral
TEST_1272,neutral
TEST_1273,neutral
TEST_1274,neutral
TEST_1275,neutral
TEST_1276,surprise
TEST_1277,anger
TEST_1278,neutral
TEST_1279,neutral
TEST_1280,neutral
TEST_1281,neutral
TEST_1282,neutral
TEST_1283,anger
TEST_1284,neutral
TEST_1285,neutral
TEST_1286,neutral
TEST_1287,neutral
TEST_1288,neutral
TEST_1289,joy
TEST_1290,anger
